exchange,stock_symbol,date,stock_price_close,stock_gain_loss_dollar,stock_gain_loss_percent,dollar_volume,stock_volume
NASDAQ,AACC,02/01/2009,5.49,0,0,519354,94600
NASDAQ,AACC,05/01/2009,5.36,-0.13,-0.023679417,272288,50800
NASDAQ,AACC,06/01/2009,5.67,0.31,0.057835821,400302,70600
NASDAQ,AACC,07/01/2009,5.48,-0.19,-0.0335097,320032,58400
NASDAQ,AACC,08/01/2009,5.43,-0.05,-0.009124088,219915,40500
NASDAQ,AACC,09/01/2009,4.97,-0.46,-0.084714549,275835,55500
NASDAQ,AACC,12/01/2009,4.66,-0.31,-0.062374245,730688,156800
NASDAQ,AACC,13/01/2009,5.04,0.38,0.081545064,307944,61100
NASDAQ,AACC,14/01/2009,4.67,-0.37,-0.073412698,272728,58400
NASDAQ,AACC,15/01/2009,4.95,0.28,0.059957173,287100,58000
NASDAQ,AACC,16/01/2009,4.87,-0.08,-0.016161616,273694,56200
NASDAQ,AACC,20/01/2009,4.37,-0.5,-0.102669405,256082,58600
NASDAQ,AACC,21/01/2009,4.32,-0.05,-0.011441648,168048,38900
NASDAQ,AACC,22/01/2009,4.04,-0.28,-0.064814815,111504,27600
NASDAQ,AACC,23/01/2009,3.81,-0.23,-0.056930693,211074,55400
NASDAQ,AACC,26/01/2009,4.06,0.25,0.065616798,295974,72900
NASDAQ,AACC,27/01/2009,4.12,0.06,0.014778325,83224,20200
NASDAQ,AACC,28/01/2009,4.46,0.34,0.082524272,166358,37300
NASDAQ,AACC,29/01/2009,4.27,-0.19,-0.042600897,125965,29500
NASDAQ,AACC,30/01/2009,4.19,-0.08,-0.018735363,227936,54400
NASDAQ,AACC,02/02/2009,4.47,0.28,0.066825776,266859,59700
NASDAQ,AACC,03/02/2009,4.54,0.07,0.015659955,312806,68900
NASDAQ,AACC,04/02/2009,4.68,0.14,0.030837004,229788,49100
NASDAQ,AACC,05/02/2009,4.73,0.05,0.010683761,201498,42600
NASDAQ,AACC,06/02/2009,4.91,0.18,0.038054968,227824,46400
NASDAQ,AACC,09/02/2009,4.93,0.02,0.00407332,100572,20400
NASDAQ,AACC,10/02/2009,4.67,-0.26,-0.052738337,231632,49600
NASDAQ,AACC,11/02/2009,4.49,-0.18,-0.038543897,239766,53400
NASDAQ,AACC,12/02/2009,4.5,0.01,0.002227171,92700,20600
NASDAQ,AACC,13/02/2009,4.34,-0.16,-0.035555556,206150,47500
NASDAQ,AACC,17/02/2009,4.18,-0.16,-0.036866359,128326,30700
